
--------------------------------------------------------------------------------
WORKER run_id=2 method=ensemble_dagger kind=ensemble
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
ENSEMBLE_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[12:58:58] [iil-baseline] round 1: pool=20 successes=10 failures=10 correction_sr=0.500
[12:58:58] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[12:58:58] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/ensemble_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/ensemble_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 2 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/ensemble_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/ensemble_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_2/ensemble_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 4 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 4, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.9866 top1=0.619 | val loss=0.0384 | t=2.4s  *
[finetune_replay] ep   2/90 | train loss=0.4306 top1=0.835 | val loss=0.0105 | t=0.2s  *
[finetune_replay] ep   3/90 | train loss=0.0826 top1=1.000 | val loss=0.0240 | t=0.2s
[finetune_replay] ep   4/90 | train loss=0.0333 top1=1.000 | val loss=0.0596 | t=0.2s
[finetune_replay] ep   5/90 | train loss=0.0385 top1=1.000 | val loss=0.0567 | t=0.1s
[finetune_replay] ep   6/90 | train loss=0.0266 top1=1.000 | val loss=0.0550 | t=0.1s
[finetune_replay] ep   7/90 | train loss=0.0080 top1=1.000 | val loss=0.0445 | t=0.2s
[finetune_replay] ep   8/90 | train loss=0.0111 top1=1.000 | val loss=0.0322 | t=0.1s
[finetune_replay] ep   9/90 | train loss=0.0174 top1=1.000 | val loss=0.0199 | t=0.1s
[finetune_replay] ep  10/90 | train loss=0.0214 top1=1.000 | val loss=0.0128 | t=0.1s
[finetune_replay] ep  11/90 | train loss=0.0125 top1=1.000 | val loss=0.0100 | t=0.1s  *
[finetune_replay] ep  12/90 | train loss=0.0066 top1=1.000 | val loss=0.0093 | t=0.1s  *
[finetune_replay] ep  13/90 | train loss=0.0071 top1=1.000 | val loss=0.0107 | t=0.1s
[finetune_replay] ep  14/90 | train loss=0.0047 top1=1.000 | val loss=0.0112 | t=0.1s
[finetune_replay] ep  15/90 | train loss=0.0041 top1=1.000 | val loss=0.0107 | t=0.1s
[finetune_replay] ep  16/90 | train loss=0.0046 top1=1.000 | val loss=0.0099 | t=0.1s
[finetune_replay] ep  17/90 | train loss=0.0034 top1=1.000 | val loss=0.0093 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0032 top1=1.000 | val loss=0.0090 | t=0.1s  *
[finetune_replay] ep  19/90 | train loss=0.0037 top1=1.000 | val loss=0.0091 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0033 top1=1.000 | val loss=0.0089 | t=0.1s  *
[finetune_replay] ep  21/90 | train loss=0.0035 top1=1.000 | val loss=0.0094 | t=0.1s
[finetune_replay] ep  22/90 | train loss=0.0031 top1=1.000 | val loss=0.0095 | t=0.1s
[finetune_replay] ep  23/90 | train loss=0.0027 top1=1.000 | val loss=0.0116 | t=0.1s
[finetune_replay] ep  24/90 | train loss=0.0028 top1=1.000 | val loss=0.0123 | t=0.1s
[finetune_replay] ep  25/90 | train loss=0.0040 top1=1.000 | val loss=0.0107 | t=0.1s
[finetune_replay] ep  26/90 | train loss=0.0023 top1=1.000 | val loss=0.0093 | t=0.1s
[finetune_replay] ep  27/90 | train loss=0.0026 top1=1.000 | val loss=0.0078 | t=0.1s  *
[finetune_replay] ep  28/90 | train loss=0.0028 top1=1.000 | val loss=0.0071 | t=0.1s  *
[finetune_replay] ep  29/90 | train loss=0.0022 top1=1.000 | val loss=0.0066 | t=0.1s  *
[finetune_replay] ep  30/90 | train loss=0.0016 top1=1.000 | val loss=0.0061 | t=0.1s  *
[finetune_replay] ep  31/90 | train loss=0.0015 top1=1.000 | val loss=0.0059 | t=0.1s  *
[finetune_replay] ep  32/90 | train loss=0.0020 top1=1.000 | val loss=0.0058 | t=0.1s  *
[finetune_replay] ep  33/90 | train loss=0.0013 top1=1.000 | val loss=0.0057 | t=0.1s  *
[finetune_replay] ep  34/90 | train loss=0.0015 top1=1.000 | val loss=0.0056 | t=0.1s  *
[finetune_replay] ep  35/90 | train loss=0.0013 top1=1.000 | val loss=0.0055 | t=0.1s  *
