
--------------------------------------------------------------------------------
WORKER run_id=1 method=ensemble_dagger kind=ensemble
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
ENSEMBLE_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[12:59:07] [iil-baseline] round 1: pool=20 successes=8 failures=12 correction_sr=0.400
[12:59:07] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[12:59:07] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_1/ensemble_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_1/ensemble_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 1 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_1/ensemble_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_1/ensemble_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_1/ensemble_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 7 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 7, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=1.3472 top1=0.768 | val loss=0.1452 | t=1.3s  *
[finetune_replay] ep   2/90 | train loss=0.3517 top1=0.909 | val loss=0.3753 | t=0.1s
[finetune_replay] ep   3/90 | train loss=0.3451 top1=0.939 | val loss=0.2309 | t=0.1s
[finetune_replay] ep   4/90 | train loss=0.1935 top1=1.000 | val loss=0.0911 | t=0.1s  *
[finetune_replay] ep   5/90 | train loss=0.1085 top1=1.000 | val loss=0.0411 | t=0.2s  *
[finetune_replay] ep   6/90 | train loss=0.0829 top1=1.000 | val loss=0.0506 | t=0.2s
[finetune_replay] ep   7/90 | train loss=0.0479 top1=1.000 | val loss=0.0447 | t=0.1s
[finetune_replay] ep   8/90 | train loss=0.0319 top1=1.000 | val loss=0.0431 | t=0.1s
[finetune_replay] ep   9/90 | train loss=0.0136 top1=1.000 | val loss=0.0426 | t=0.1s
[finetune_replay] ep  10/90 | train loss=0.0083 top1=1.000 | val loss=0.0465 | t=0.1s
[finetune_replay] ep  11/90 | train loss=0.0232 top1=1.000 | val loss=0.0544 | t=0.1s
[finetune_replay] ep  12/90 | train loss=0.0072 top1=1.000 | val loss=0.0755 | t=0.1s
[finetune_replay] ep  13/90 | train loss=0.0047 top1=1.000 | val loss=0.0799 | t=0.1s
[finetune_replay] ep  14/90 | train loss=0.0058 top1=1.000 | val loss=0.0819 | t=0.1s
[finetune_replay] ep  15/90 | train loss=0.0091 top1=1.000 | val loss=0.0887 | t=0.1s
[finetune_replay] ep  16/90 | train loss=0.0036 top1=1.000 | val loss=0.0688 | t=0.2s
[finetune_replay] ep  17/90 | train loss=0.0029 top1=1.000 | val loss=0.0489 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0029 top1=1.000 | val loss=0.0386 | t=0.1s  *
[finetune_replay] ep  19/90 | train loss=0.0035 top1=1.000 | val loss=0.0388 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0025 top1=1.000 | val loss=0.0400 | t=0.1s
[finetune_replay] ep  21/90 | train loss=0.0021 top1=1.000 | val loss=0.0417 | t=0.1s
