
--------------------------------------------------------------------------------
WORKER run_id=4 method=ensemble_dagger kind=ensemble
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
ENSEMBLE_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[12:59:10] [iil-baseline] round 1: pool=20 successes=7 failures=13 correction_sr=0.350
[12:59:10] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[12:59:10] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/ensemble_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/ensemble_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 4 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/ensemble_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/ensemble_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/ensemble_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 4 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 4, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.6728 top1=0.897 | val loss=0.1473 | t=1.0s  *
[finetune_replay] ep   2/90 | train loss=0.1662 top1=0.979 | val loss=0.0270 | t=0.2s  *
[finetune_replay] ep   3/90 | train loss=0.0522 top1=1.000 | val loss=0.0437 | t=0.2s
[finetune_replay] ep   4/90 | train loss=0.0450 top1=1.000 | val loss=0.0661 | t=0.1s
[finetune_replay] ep   5/90 | train loss=0.0185 top1=1.000 | val loss=0.0674 | t=0.2s
[finetune_replay] ep   6/90 | train loss=0.0212 top1=1.000 | val loss=0.0659 | t=0.1s
[finetune_replay] ep   7/90 | train loss=0.0186 top1=1.000 | val loss=0.0658 | t=0.1s
[finetune_replay] ep   8/90 | train loss=0.0099 top1=1.000 | val loss=0.0642 | t=0.1s
[finetune_replay] ep   9/90 | train loss=0.0074 top1=1.000 | val loss=0.0629 | t=0.1s
[finetune_replay] ep  10/90 | train loss=0.0075 top1=1.000 | val loss=0.0623 | t=0.1s
[finetune_replay] ep  11/90 | train loss=0.0038 top1=1.000 | val loss=0.0633 | t=0.1s
[finetune_replay] ep  12/90 | train loss=0.0048 top1=1.000 | val loss=0.0699 | t=0.1s
[finetune_replay] ep  13/90 | train loss=0.0040 top1=1.000 | val loss=0.0707 | t=0.1s
[finetune_replay] ep  14/90 | train loss=0.0036 top1=1.000 | val loss=0.0694 | t=0.1s
[finetune_replay] ep  15/90 | train loss=0.0037 top1=1.000 | val loss=0.0689 | t=0.1s
[finetune_replay] ep  16/90 | train loss=0.0035 top1=1.000 | val loss=0.0677 | t=0.1s
[finetune_replay] ep  17/90 | train loss=0.0027 top1=1.000 | val loss=0.0653 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0029 top1=1.000 | val loss=0.0643 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0024 top1=1.000 | val loss=0.0630 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0027 top1=1.000 | val loss=0.0630 | t=0.1s
[finetune_replay] ep  21/90 | train loss=0.0021 top1=1.000 | val loss=0.0619 | t=0.1s
[finetune_replay] ep  22/90 | train loss=0.0018 top1=1.000 | val loss=0.0602 | t=0.1s
[finetune_replay] ep  23/90 | train loss=0.0021 top1=1.000 | val loss=0.0609 | t=0.1s
[finetune_replay] ep  24/90 | train loss=0.0021 top1=1.000 | val loss=0.0598 | t=0.1s
[finetune_replay] ep  25/90 | train loss=0.0026 top1=1.000 | val loss=0.0591 | t=0.1s
[finetune_replay] ep  26/90 | train loss=0.0018 top1=1.000 | val loss=0.0637 | t=0.1s
[finetune_replay] ep  27/90 | train loss=0.0018 top1=1.000 | val loss=0.0642 | t=0.1s
[finetune_replay] ep  28/90 | train loss=0.0015 top1=1.000 | val loss=0.0651 | t=0.1s
[finetune_replay] ep  29/90 | train loss=0.0015 top1=1.000 | val loss=0.0667 | t=0.1s
[finetune_replay] ep  30/90 | train loss=0.0018 top1=1.000 | val loss=0.0642 | t=0.1s
[finetune_replay] ep  31/90 | train loss=0.0016 top1=1.000 | val loss=0.0599 | t=0.1s
[finetune_replay] ep  32/90 | train loss=0.0014 top1=1.000 | val loss=0.0566 | t=0.1s
[finetune_replay] ep  33/90 | train loss=0.0013 top1=1.000 | val loss=0.0578 | t=0.1s
[finetune_replay] ep  34/90 | train loss=0.0010 top1=1.000 | val loss=0.0582 | t=0.1s
[finetune_replay] ep  35/90 | train loss=0.0011 top1=1.000 | val loss=0.0603 | t=0.1s
[finetune_replay] ep  36/90 | train loss=0.0014 top1=1.000 | val loss=0.0619 | t=0.1s
[finetune_replay] ep  37/90 | train loss=0.0014 top1=1.000 | val loss=0.0624 | t=0.1s
[finetune_replay] ep  38/90 | train loss=0.0010 top1=1.000 | val loss=0.0632 | t=0.1s
[finetune_replay] ep  39/90 | train loss=0.0013 top1=1.000 | val loss=0.0621 | t=0.1s
[finetune_replay] ep  40/90 | train loss=0.0012 top1=1.000 | val loss=0.0618 | t=0.1s
[finetune_replay] ep  41/90 | train loss=0.0013 top1=1.000 | val loss=0.0625 | t=0.1s
[finetune_replay] ep  42/90 | train loss=0.0012 top1=1.000 | val loss=0.0620 | t=0.2s
[finetune_replay] ep  43/90 | train loss=0.0013 top1=1.000 | val loss=0.0620 | t=0.1s
[finetune_replay] ep  44/90 | train loss=0.0010 top1=1.000 | val loss=0.0629 | t=0.1s
[finetune_replay] ep  45/90 | train loss=0.0010 top1=1.000 | val loss=0.0625 | t=0.1s
[finetune_replay] ep  46/90 | train loss=0.0010 top1=1.000 | val loss=0.0615 | t=0.1s
[finetune_replay] ep  47/90 | train loss=0.0011 top1=1.000 | val loss=0.0609 | t=0.1s
[finetune_replay] ep  48/90 | train loss=0.0009 top1=1.000 | val loss=0.0601 | t=0.1s
[finetune_replay] ep  49/90 | train loss=0.0012 top1=1.000 | val loss=0.0592 | t=0.1s
[finetune_replay] ep  50/90 | train loss=0.0013 top1=1.000 | val loss=0.0604 | t=0.1s
[finetune_replay] ep  51/90 | train loss=0.0008 top1=1.000 | val loss=0.0624 | t=0.1s
[finetune_replay] ep  52/90 | train loss=0.0011 top1=1.000 | val loss=0.0632 | t=0.1s
[finetune_replay] ep  53/90 | train loss=0.0010 top1=1.000 | val loss=0.0628 | t=0.1s
[finetune_replay] ep  54/90 | train loss=0.0013 top1=1.000 | val loss=0.0616 | t=0.1s
[finetune_replay] ep  55/90 | train loss=0.0011 top1=1.000 | val loss=0.0596 | t=0.1s
[finetune_replay] ep  56/90 | train loss=0.0011 top1=1.000 | val loss=0.0580 | t=0.1s
[finetune_replay] ep  57/90 | train loss=0.0011 top1=1.000 | val loss=0.0577 | t=0.1s
[finetune_replay] ep  58/90 | train loss=0.0011 top1=1.000 | val loss=0.0565 | t=0.1s
[finetune_replay] ep  59/90 | train loss=0.0008 top1=1.000 | val loss=0.0572 | t=0.1s
[finetune_replay] ep  60/90 | train loss=0.0008 top1=1.000 | val loss=0.0564 | t=0.1s
[finetune_replay] ep  61/90 | train loss=0.0010 top1=1.000 | val loss=0.0562 | t=0.1s
[finetune_replay] ep  62/90 | train loss=0.0009 top1=1.000 | val loss=0.0559 | t=0.1s
[finetune_replay] ep  63/90 | train loss=0.0012 top1=1.000 | val loss=0.0561 | t=0.1s
[finetune_replay] ep  64/90 | train loss=0.0012 top1=1.000 | val loss=0.0566 | t=0.1s
[finetune_replay] ep  65/90 | train loss=0.0009 top1=1.000 | val loss=0.0569 | t=0.1s
[finetune_replay] ep  66/90 | train loss=0.0011 top1=1.000 | val loss=0.0561 | t=0.1s
[finetune_replay] ep  67/90 | train loss=0.0011 top1=1.000 | val loss=0.0552 | t=0.1s
[finetune_replay] ep  68/90 | train loss=0.0008 top1=1.000 | val loss=0.0552 | t=0.1s
[finetune_replay] ep  69/90 | train loss=0.0011 top1=1.000 | val loss=0.0550 | t=0.1s
