
--------------------------------------------------------------------------------
WORKER run_id=8 method=ensemble_dagger kind=ensemble
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
ENSEMBLE_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[14:41:23] [iil-baseline] round 1: pool=20 successes=6 failures=14 correction_sr=0.300
[14:41:23] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[14:41:23] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/ensemble_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/ensemble_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 8 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/ensemble_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/ensemble_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/ensemble_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 6 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 6, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.5905 top1=0.909 | val loss=0.5489 | t=1.0s  *
[finetune_replay] ep   2/90 | train loss=0.7059 top1=0.818 | val loss=0.1505 | t=0.2s  *
[finetune_replay] ep   3/90 | train loss=0.1588 top1=0.929 | val loss=0.2142 | t=0.1s
[finetune_replay] ep   4/90 | train loss=0.0735 top1=0.990 | val loss=0.3714 | t=0.2s
[finetune_replay] ep   5/90 | train loss=0.0877 top1=0.980 | val loss=0.2861 | t=0.1s
[finetune_replay] ep   6/90 | train loss=0.0306 top1=1.000 | val loss=0.1483 | t=0.1s  *
[finetune_replay] ep   7/90 | train loss=0.0207 top1=1.000 | val loss=0.1307 | t=0.1s  *
[finetune_replay] ep   8/90 | train loss=0.0227 top1=0.990 | val loss=0.3740 | t=0.2s
[finetune_replay] ep   9/90 | train loss=0.0081 top1=1.000 | val loss=0.4218 | t=0.1s
[finetune_replay] ep  10/90 | train loss=0.0214 top1=0.980 | val loss=0.2578 | t=0.2s
[finetune_replay] ep  11/90 | train loss=0.0126 top1=1.000 | val loss=0.2270 | t=0.1s
[finetune_replay] ep  12/90 | train loss=0.0127 top1=1.000 | val loss=0.2663 | t=0.1s
[finetune_replay] ep  13/90 | train loss=0.0055 top1=1.000 | val loss=0.2272 | t=0.1s
[finetune_replay] ep  14/90 | train loss=0.0045 top1=1.000 | val loss=0.1893 | t=0.1s
[finetune_replay] ep  15/90 | train loss=0.0048 top1=1.000 | val loss=0.1654 | t=0.1s
[finetune_replay] ep  16/90 | train loss=0.0046 top1=1.000 | val loss=0.2007 | t=0.2s
[finetune_replay] ep  17/90 | train loss=0.0048 top1=1.000 | val loss=0.2520 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0020 top1=1.000 | val loss=0.2667 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0032 top1=1.000 | val loss=0.2312 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0033 top1=1.000 | val loss=0.2043 | t=0.1s
[finetune_replay] ep  21/90 | train loss=0.0032 top1=1.000 | val loss=0.1894 | t=0.1s
