
--------------------------------------------------------------------------------
WORKER run_id=10 method=ensemble_dagger kind=ensemble
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
ENSEMBLE_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[14:41:23] [iil-baseline] round 1: pool=20 successes=10 failures=10 correction_sr=0.500
[14:41:23] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[14:41:23] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/ensemble_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/ensemble_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 10 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/ensemble_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/ensemble_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/ensemble_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 4 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 4, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.8007 top1=0.722 | val loss=0.2220 | t=1.0s  *
[finetune_replay] ep   2/90 | train loss=0.0658 top1=0.990 | val loss=0.2232 | t=0.1s
[finetune_replay] ep   3/90 | train loss=0.0498 top1=1.000 | val loss=0.0868 | t=0.2s  *
[finetune_replay] ep   4/90 | train loss=0.0179 top1=1.000 | val loss=0.0380 | t=0.1s  *
[finetune_replay] ep   5/90 | train loss=0.0109 top1=1.000 | val loss=0.0439 | t=0.2s
[finetune_replay] ep   6/90 | train loss=0.0126 top1=1.000 | val loss=0.0570 | t=0.1s
[finetune_replay] ep   7/90 | train loss=0.0061 top1=1.000 | val loss=0.0674 | t=0.1s
[finetune_replay] ep   8/90 | train loss=0.0194 top1=1.000 | val loss=0.0893 | t=0.1s
[finetune_replay] ep   9/90 | train loss=0.0059 top1=1.000 | val loss=0.0725 | t=0.1s
[finetune_replay] ep  10/90 | train loss=0.0042 top1=1.000 | val loss=0.0247 | t=0.2s  *
[finetune_replay] ep  11/90 | train loss=0.0052 top1=1.000 | val loss=0.0146 | t=0.2s  *
[finetune_replay] ep  12/90 | train loss=0.0042 top1=1.000 | val loss=0.0134 | t=0.1s  *
[finetune_replay] ep  13/90 | train loss=0.0024 top1=1.000 | val loss=0.0132 | t=0.1s  *
[finetune_replay] ep  14/90 | train loss=0.0029 top1=1.000 | val loss=0.0179 | t=0.1s
[finetune_replay] ep  15/90 | train loss=0.0027 top1=1.000 | val loss=0.0292 | t=0.2s
[finetune_replay] ep  16/90 | train loss=0.0027 top1=1.000 | val loss=0.0292 | t=0.1s
[finetune_replay] ep  17/90 | train loss=0.0018 top1=1.000 | val loss=0.0223 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0019 top1=1.000 | val loss=0.0213 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0020 top1=1.000 | val loss=0.0229 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0020 top1=1.000 | val loss=0.0268 | t=0.2s
[finetune_replay] ep  21/90 | train loss=0.0019 top1=1.000 | val loss=0.0240 | t=0.1s
